Input_Size,Run_ID,Algorithm,Comparisons
1000,1,BubbleSort,999000
1000,1,InsertionSort,254298
1000,1,SelectionSort,499500
1000,1,MergeSort,8671
1000,1,QuickSort,10949
1000,1,HeapSort,11731
1000,2,BubbleSort,999000
1000,2,InsertionSort,245008
1000,2,SelectionSort,499500
1000,2,MergeSort,8742
1000,2,QuickSort,11717
1000,2,HeapSort,11618
1000,3,BubbleSort,999000
1000,3,InsertionSort,253629
1000,3,SelectionSort,499500
1000,3,MergeSort,8695
1000,3,QuickSort,10906
1000,3,HeapSort,11693
1000,4,BubbleSort,999000
1000,4,InsertionSort,248300
1000,4,SelectionSort,499500
1000,4,MergeSort,8693
1000,4,QuickSort,12497
1000,4,HeapSort,11669
1000,5,BubbleSort,999000
1000,5,InsertionSort,239961
1000,5,SelectionSort,499500
1000,5,MergeSort,8725
1000,5,QuickSort,10511
1000,5,HeapSort,11641
1000,6,BubbleSort,999000
1000,6,InsertionSort,258695
1000,6,SelectionSort,499500
1000,6,MergeSort,8721
1000,6,QuickSort,11429
1000,6,HeapSort,11648
1000,7,BubbleSort,999000
1000,7,InsertionSort,257762
1000,7,SelectionSort,499500
1000,7,MergeSort,8689
1000,7,QuickSort,12009
1000,7,HeapSort,11712
1000,8,BubbleSort,999000
1000,8,InsertionSort,247410
1000,8,SelectionSort,499500
1000,8,MergeSort,8704
1000,8,QuickSort,12206
1000,8,HeapSort,11640
1000,9,BubbleSort,999000
1000,9,InsertionSort,250515
1000,9,SelectionSort,499500
1000,9,MergeSort,8722
1000,9,QuickSort,11418
1000,9,HeapSort,11737
1000,10,BubbleSort,999000
1000,10,InsertionSort,254053
1000,10,SelectionSort,499500
1000,10,MergeSort,8702
1000,10,QuickSort,11949
1000,10,HeapSort,11685
1000,11,BubbleSort,999000
1000,11,InsertionSort,247552
1000,11,SelectionSort,499500
1000,11,MergeSort,8695
1000,11,QuickSort,11509
1000,11,HeapSort,11650
1000,12,BubbleSort,999000
1000,12,InsertionSort,248127
1000,12,SelectionSort,499500
1000,12,MergeSort,8687
1000,12,QuickSort,11372
1000,12,HeapSort,11678
1000,13,BubbleSort,999000
1000,13,InsertionSort,256366
1000,13,SelectionSort,499500
1000,13,MergeSort,8712
1000,13,QuickSort,11190
1000,13,HeapSort,11673
1000,14,BubbleSort,999000
1000,14,InsertionSort,254401
1000,14,SelectionSort,499500
1000,14,MergeSort,8705
1000,14,QuickSort,11366
1000,14,HeapSort,11725
1000,15,BubbleSort,999000
1000,15,InsertionSort,241990
1000,15,SelectionSort,499500
1000,15,MergeSort,8697
1000,15,QuickSort,12509
1000,15,HeapSort,11689
1000,16,BubbleSort,999000
1000,16,InsertionSort,245916
1000,16,SelectionSort,499500
1000,16,MergeSort,8723
1000,16,QuickSort,11744
1000,16,HeapSort,11661
1000,17,BubbleSort,999000
1000,17,InsertionSort,253068
1000,17,SelectionSort,499500
1000,17,MergeSort,8716
1000,17,QuickSort,10957
1000,17,HeapSort,11672
1000,18,BubbleSort,999000
1000,18,InsertionSort,251716
1000,18,SelectionSort,499500
1000,18,MergeSort,8699
1000,18,QuickSort,11957
1000,18,HeapSort,11683
1000,19,BubbleSort,999000
1000,19,InsertionSort,248132
1000,19,SelectionSort,499500
1000,19,MergeSort,8724
1000,19,QuickSort,11954
1000,19,HeapSort,11725
1000,20,BubbleSort,999000
1000,20,InsertionSort,254871
1000,20,SelectionSort,499500
1000,20,MergeSort,8710
1000,20,QuickSort,11559
1000,20,HeapSort,11741
1000,21,BubbleSort,999000
1000,21,InsertionSort,244418
1000,21,SelectionSort,499500
1000,21,MergeSort,8727
1000,21,QuickSort,10531
1000,21,HeapSort,11698
1000,22,BubbleSort,999000
1000,22,InsertionSort,252659
1000,22,SelectionSort,499500
1000,22,MergeSort,8716
1000,22,QuickSort,11594
1000,22,HeapSort,11705
1000,23,BubbleSort,999000
1000,23,InsertionSort,252043
1000,23,SelectionSort,499500
1000,23,MergeSort,8705
1000,23,QuickSort,11205
1000,23,HeapSort,11693
1000,24,BubbleSort,999000
1000,24,InsertionSort,254279
1000,24,SelectionSort,499500
1000,24,MergeSort,8702
1000,24,QuickSort,11601
1000,24,HeapSort,11658
1000,25,BubbleSort,999000
1000,25,InsertionSort,252062
1000,25,SelectionSort,499500
1000,25,MergeSort,8730
1000,25,QuickSort,10600
1000,25,HeapSort,11691
1000,26,BubbleSort,999000
1000,26,InsertionSort,245583
1000,26,SelectionSort,499500
1000,26,MergeSort,8717
1000,26,QuickSort,11187
1000,26,HeapSort,11696
1000,27,BubbleSort,999000
1000,27,InsertionSort,253953
1000,27,SelectionSort,499500
1000,27,MergeSort,8700
1000,27,QuickSort,11571
1000,27,HeapSort,11629
1000,28,BubbleSort,999000
1000,28,InsertionSort,248055
1000,28,SelectionSort,499500
1000,28,MergeSort,8730
1000,28,QuickSort,11478
1000,28,HeapSort,11717
1000,29,BubbleSort,999000
1000,29,InsertionSort,258490
1000,29,SelectionSort,499500
1000,29,MergeSort,8702
1000,29,QuickSort,11785
1000,29,HeapSort,11619
1000,30,BubbleSort,999000
1000,30,InsertionSort,251130
1000,30,SelectionSort,499500
1000,30,MergeSort,8732
1000,30,QuickSort,11287
1000,30,HeapSort,11639
1000,31,BubbleSort,999000
1000,31,InsertionSort,252490
1000,31,SelectionSort,499500
1000,31,MergeSort,8718
1000,31,QuickSort,11161
1000,31,HeapSort,11729
1000,32,BubbleSort,999000
1000,32,InsertionSort,249054
1000,32,SelectionSort,499500
1000,32,MergeSort,8725
1000,32,QuickSort,12120
1000,32,HeapSort,11680
1000,33,BubbleSort,999000
1000,33,InsertionSort,244890
1000,33,SelectionSort,499500
1000,33,MergeSort,8696
1000,33,QuickSort,11544
1000,33,HeapSort,11660
1000,34,BubbleSort,999000
1000,34,InsertionSort,246254
1000,34,SelectionSort,499500
1000,34,MergeSort,8717
1000,34,QuickSort,13401
1000,34,HeapSort,11705
1000,35,BubbleSort,999000
1000,35,InsertionSort,243782
1000,35,SelectionSort,499500
1000,35,MergeSort,8698
1000,35,QuickSort,10972
1000,35,HeapSort,11670
1000,36,BubbleSort,999000
1000,36,InsertionSort,252440
1000,36,SelectionSort,499500
1000,36,MergeSort,8675
1000,36,QuickSort,11968
1000,36,HeapSort,11694
1000,37,BubbleSort,999000
1000,37,InsertionSort,254313
1000,37,SelectionSort,499500
1000,37,MergeSort,8697
1000,37,QuickSort,11511
1000,37,HeapSort,11720
1000,38,BubbleSort,999000
1000,38,InsertionSort,252489
1000,38,SelectionSort,499500
1000,38,MergeSort,8685
1000,38,QuickSort,10480
1000,38,HeapSort,11677
1000,39,BubbleSort,999000
1000,39,InsertionSort,240102
1000,39,SelectionSort,499500
1000,39,MergeSort,8711
1000,39,QuickSort,11595
1000,39,HeapSort,11779
1000,40,BubbleSort,999000
1000,40,InsertionSort,253065
1000,40,SelectionSort,499500
1000,40,MergeSort,8705
1000,40,QuickSort,11543
1000,40,HeapSort,11687
1000,41,BubbleSort,999000
1000,41,InsertionSort,255298
1000,41,SelectionSort,499500
1000,41,MergeSort,8695
1000,41,QuickSort,12465
1000,41,HeapSort,11683
1000,42,BubbleSort,999000
1000,42,InsertionSort,257382
1000,42,SelectionSort,499500
1000,42,MergeSort,8726
1000,42,QuickSort,11203
1000,42,HeapSort,11646
1000,43,BubbleSort,999000
1000,43,InsertionSort,253342
1000,43,SelectionSort,499500
1000,43,MergeSort,8715
1000,43,QuickSort,11331
1000,43,HeapSort,11643
1000,44,BubbleSort,999000
1000,44,InsertionSort,251781
1000,44,SelectionSort,499500
1000,44,MergeSort,8714
1000,44,QuickSort,11782
1000,44,HeapSort,11705
1000,45,BubbleSort,999000
1000,45,InsertionSort,251152
1000,45,SelectionSort,499500
1000,45,MergeSort,8706
1000,45,QuickSort,11579
1000,45,HeapSort,11628
1000,46,BubbleSort,999000
1000,46,InsertionSort,249482
1000,46,SelectionSort,499500
1000,46,MergeSort,8693
1000,46,QuickSort,11067
1000,46,HeapSort,11673
1000,47,BubbleSort,999000
1000,47,InsertionSort,244710
1000,47,SelectionSort,499500
1000,47,MergeSort,8700
1000,47,QuickSort,11754
1000,47,HeapSort,11749
1000,48,BubbleSort,999000
1000,48,InsertionSort,255138
1000,48,SelectionSort,499500
1000,48,MergeSort,8677
1000,48,QuickSort,10965
1000,48,HeapSort,11691
1000,49,BubbleSort,999000
1000,49,InsertionSort,241525
1000,49,SelectionSort,499500
1000,49,MergeSort,8724
1000,49,QuickSort,12073
1000,49,HeapSort,11759
1000,50,BubbleSort,999000
1000,50,InsertionSort,252279
1000,50,SelectionSort,499500
1000,50,MergeSort,8711
1000,50,QuickSort,10844
1000,50,HeapSort,11705
1000,51,BubbleSort,999000
1000,51,InsertionSort,240284
1000,51,SelectionSort,499500
1000,51,MergeSort,8734
1000,51,QuickSort,11399
1000,51,HeapSort,11725
1000,52,BubbleSort,999000
1000,52,InsertionSort,250178
1000,52,SelectionSort,499500
1000,52,MergeSort,8693
1000,52,QuickSort,13122
1000,52,HeapSort,11635
1000,53,BubbleSort,999000
1000,53,InsertionSort,253880
1000,53,SelectionSort,499500
1000,53,MergeSort,8678
1000,53,QuickSort,11545
1000,53,HeapSort,11684
1000,54,BubbleSort,999000
1000,54,InsertionSort,246810
1000,54,SelectionSort,499500
1000,54,MergeSort,8688
1000,54,QuickSort,11114
1000,54,HeapSort,11641
1000,55,BubbleSort,999000
1000,55,InsertionSort,239218
1000,55,SelectionSort,499500
1000,55,MergeSort,8782
1000,55,QuickSort,10509
1000,55,HeapSort,11719
1000,56,BubbleSort,999000
1000,56,InsertionSort,253296
1000,56,SelectionSort,499500
1000,56,MergeSort,8689
1000,56,QuickSort,10318
1000,56,HeapSort,11611
1000,57,BubbleSort,999000
1000,57,InsertionSort,242252
1000,57,SelectionSort,499500
1000,57,MergeSort,8712
1000,57,QuickSort,11284
1000,57,HeapSort,11705
1000,58,BubbleSort,999000
1000,58,InsertionSort,256986
1000,58,SelectionSort,499500
1000,58,MergeSort,8707
1000,58,QuickSort,13266
1000,58,HeapSort,11653
1000,59,BubbleSort,999000
1000,59,InsertionSort,257930
1000,59,SelectionSort,499500
1000,59,MergeSort,8717
1000,59,QuickSort,10686
1000,59,HeapSort,11643
1000,60,BubbleSort,999000
1000,60,InsertionSort,245051
1000,60,SelectionSort,499500
1000,60,MergeSort,8718
1000,60,QuickSort,11543
1000,60,HeapSort,11714
1000,61,BubbleSort,999000
1000,61,InsertionSort,248907
1000,61,SelectionSort,499500
1000,61,MergeSort,8713
1000,61,QuickSort,10563
1000,61,HeapSort,11728
1000,62,BubbleSort,999000
1000,62,InsertionSort,249773
1000,62,SelectionSort,499500
1000,62,MergeSort,8722
1000,62,QuickSort,11655
1000,62,HeapSort,11747
1000,63,BubbleSort,999000
1000,63,InsertionSort,247848
1000,63,SelectionSort,499500
1000,63,MergeSort,8716
1000,63,QuickSort,11587
1000,63,HeapSort,11688
1000,64,BubbleSort,999000
1000,64,InsertionSort,248614
1000,64,SelectionSort,499500
1000,64,MergeSort,8732
1000,64,QuickSort,12386
1000,64,HeapSort,11717
1000,65,BubbleSort,999000
1000,65,InsertionSort,245492
1000,65,SelectionSort,499500
1000,65,MergeSort,8753
