Algorithm,Input_Size,Median_Swaps,Median_Comparisons,Median_Time_microseconds
BubbleSort,100,2469,4950,24
InsertionSort,100,2469,2469,13
SelectionSort,100,99,4950,9
MergeSort,100,672,543,5
QuickSort,100,163,689,4
HeapSort,100,582,674,7
BubbleSort,500,62323,124750,476
InsertionSort,500,62323,62323,317
SelectionSort,500,499,124750,181
MergeSort,500,4488,3854,36
QuickSort,500,1077,5057,27
HeapSort,500,4042,5096,54
BubbleSort,1000,248983,499500,1832
InsertionSort,1000,248983,248983,1261
SelectionSort,1000,999,499500,680
MergeSort,1000,9976,8708,79
QuickSort,1000,2389,11333,60
HeapSort,1000,9084,11687,121
BubbleSort,1500,562011,1124250,4102
InsertionSort,1500,562011,562011,2866
SelectionSort,1500,1499,1124250,1509
MergeSort,1500,15952,13962,130
QuickSort,1500,3781,18190,97
HeapSort,1500,14542,18819,194
BubbleSort,3000,2246273,4498500,16217
InsertionSort,3000,2246273,2246273,11479
SelectionSort,3000,2999,4498500,5917
MergeSort,3000,34904,30918,268
QuickSort,3000,8250,40821,210
HeapSort,3000,32079,42128,425
BubbleSort,3500,3056712,6123250,21891
InsertionSort,3500,3056712,3056712,15560
SelectionSort,3500,3499,6123250,7979
MergeSort,3500,41404,36841,318
QuickSort,3500,9815,48476,249
HeapSort,3500,38177,50306,504
BubbleSort,4000,4003067,7998000,28829
InsertionSort,4000,4003067,4003067,20524
SelectionSort,4000,3999,7998000,10480
MergeSort,4000,47904,42819,375
QuickSort,4000,11381,56816,290
HeapSort,4000,44315,58715,591
BubbleSort,4500,5058804,10122750,36276
InsertionSort,4500,5058804,5058804,25820
SelectionSort,4500,4499,10122750,13192
MergeSort,4500,54808,48988,432
QuickSort,4500,12997,64830,330
HeapSort,4500,50655,67131,674
BubbleSort,5000,6253308,12497500,44719
InsertionSort,5000,6253308,6253308,31849
SelectionSort,5000,4999,12497500,16174
MergeSort,5000,61808,55224,480
QuickSort,5000,14613,72704,370
HeapSort,5000,57108,75698,756
