eps,min_samples,runtime_s,n_clusters,n_noise,noise_pct,silhouette,davies_bouldin,dunn,rand,adj_rand
0.75,5,2.12,263,8462,42.31,-0.3292166211349496,0.9914260397233392,0.06742058321772401,0.5515710035501775,0.001248048026279905
0.75,10,1.4,65,13934,69.67,-0.1876110744957474,1.1293490001689985,0.02278833846342269,0.4780833241662083,-0.03875158790535406
0.75,20,1.4,21,18332,91.66,0.1206077515508838,1.1508741812520669,0.04641041765078418,0.40143539676983847,-0.024399801827243876
0.75,50,1.41,0,20000,100.0,,,,,
1.0,5,2.1,56,2403,12.015,-0.3180099933857281,0.9185985634087849,0.09836304425269099,0.4532890094504725,0.028715094726297873
1.0,10,3.21,26,4514,22.57,-0.2751969878606882,1.025007317435605,0.07172228687002274,0.49328888944447224,0.0457384512938985
1.0,20,2.11,7,8208,41.04,-0.020393574446261938,1.0446942976702116,0.06010097085175459,0.516002400120006,0.029778102985510185
1.0,50,2.1,7,14655,73.275,0.1842020323989908,1.4329765261743908,0.08249503499200628,0.46193054152707635,-0.04521749972603104
1.25,5,4.26,20,702,3.51,-0.13258151501479432,0.803620755431813,0.06857714036574894,0.4013028501425071,0.007778895710790217
1.25,10,3.09,6,1413,7.065,-0.02593805668867779,1.001738037147674,0.20294918063018458,0.41989125456272813,0.01632519607278663
1.25,20,3.29,3,2775,13.875,0.24175066917612908,1.0035599962460344,0.10367634704197487,0.45539910495524777,0.03239136907415529
1.25,50,4.35,3,5760,28.8,0.11884371814421381,1.02960374885959,0.09361904716475072,0.5148187209360467,0.06107418036338363
1.5,5,4.56,8,237,1.185,0.10214346992870367,0.6910852407267758,0.1371949059604099,0.3864222711135557,0.004165145349432837
1.5,10,6.08,1,502,2.51,,,,,
1.5,20,4.61,2,947,4.735,0.23490006831122004,0.8754324322635095,inf,0.4052250812540627,0.009667586624787337
1.5,50,5.44,1,2224,11.12,,,,,
1.75,5,6.26,5,62,0.31,0.09615488960315509,0.7151884541159684,0.16650518094859573,0.37977558877943896,0.0013526376738804491
1.75,10,7.35,1,169,0.845,,,,,
1.75,20,6.46,1,337,1.685,,,,,
1.75,50,6.02,1,853,4.265,,,,,
2.0,5,8.05,3,32,0.16,0.23029371415390992,0.7271043791584368,0.357379493560394,0.3784009300465023,0.0006768125919209832
2.0,10,8.74,1,64,0.32,,,,,
2.0,20,7.5,1,131,0.655,,,,,
2.0,50,9.17,1,313,1.565,,,,,
2.5,5,11.81,2,11,0.055,0.5771341142835763,0.41355408229448704,0.2960490736112118,0.3774260813040652,0.0001362469491867118
2.5,10,11.61,1,20,0.1,,,,,
2.5,20,10.23,1,25,0.125,,,,,
2.5,50,11.83,1,57,0.285,,,,,
